home,consent,eurofondy_iv,skolka_iv,skolka_agree,skolka_vote,skolka_norms,control,suma,praca,potreba,pila,age,etnicita,etnicita_3_TEXT,gender,etnic_ascr,SC0
2,,,,,,,,,,,,,,"",,,2
1,1,3,3,3,4,3,2,3,4,3,6,,1,"",1,2,40
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
3,1,3,4,4,4,4,3,4,4,3,4,59,2,"",2,2,44
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,3,1,1,1,1,1,1,1,1,1,54,1,"",2,1,18
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,3,2,4,4,3,3,4,4,3,4,64,1,"",2,1,40
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,4,3,3,2,4,4,4,4,4,55,1,"",2,1,42
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
1,1,4,2,2,1,1,1,4,4,1,4,50,1,"",2,1,30
2,,,,,,,,,,,,,,"",,,2
1,1,4,1,4,1,1,2,1,1,1,1,20,1,"",1,1,22
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,1,3,4,3,4,4,4,4,4,71,1,"",1,1,40
1,1,4,3,4,4,2,4,4,4,4,4,10,1,"",1,1,42
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,5,4,4,2,4,4,4,4,3,31,1,"",1,1,43
1,2,,,,,,,,,,,,,"",,,3
1,1,4,5,4,1,1,3,4,4,4,5,64,1,"",2,1,41
1,1,4,4,1,1,2,4,2,4,3,4,64,1,"",1,1,34
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
3,2,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,3,2,4,4,3,4,2,3,4,3,9,1,"",1,2,38
1,1,4,3,5,2,5,1,4,4,1,3,56,1,"",2,1,38
1,1,3,2,2,1,1,3,4,4,5,3,64,1,"",1,1,33
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,2,3,3,2,4,4,4,4,3,28,1,"",2,1,39
2,,,,,,,,,,,,,,"",,,2
1,1,4,1,1,1,1,4,4,4,4,4,55,1,"",1,1,33
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,1,4,4,4,4,4,3,4,4,4,33,1,"",2,2,43
1,2,,,,,,,,,,,,,"",,,3
4,,,,,,,,,,,,,,"",,,0
1,1,3,4,4,4,3,4,4,4,4,4,51,1,"",1,2,44
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
1,1,3,4,4,4,2,3,4,3,4,4,18,1,"",1,2,41
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
1,1,4,4,4,4,4,4,4,2,4,2,42,2,"",1,2,43
1,1,4,4,4,4,3,4,2,1,3,3,30,2,"",2,2,40
1,1,4,4,3,3,1,2,3,4,4,3,23,2,"",1,2,38
1,1,4,4,4,4,2,4,3,3,4,4,43,2,"",2,2,44
2,,,,,,,,,,,,,,"",,,2
1,1,3,4,4,4,2,2,3,3,4,2,33,1,"",2,2,38
1,1,3,4,4,4,3,4,3,3,4,4,24,2,"",2,2,44
1,1,3,4,4,4,4,4,3,3,4,4,31,2,"",1,2,44
1,1,4,4,4,4,4,4,3,1,4,3,11,1,"",2,2,42
1,1,4,4,4,4,3,4,3,1,4,4,35,3,Aj Róm aj Slovak,1,2,43
1,1,1,4,1,1,1,4,2,3,4,4,57,1,"",1,2,31
2,,,,,,,,,,,,,,"",,,2
1,1,3,4,4,4,4,2,4,3,2,4,16,2,"",2,2,42
1,1,3,4,3,4,2,4,4,4,4,4,14,2,"",2,2,44
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,4,4,4,3,1,4,4,1,1,56,1,"",2,2,37
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,3,1,2,2,2,2,2,3,2,2,58,1,"",2,1,27
2,,,,,,,,,,,,,,"",,,2
1,1,4,1,1,1,2,1,1,1,1,1,55,1,"",1,1,19
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
1,1,3,4,4,1,3,3,3,4,3,4,21,1,"",2,2,39
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,4,4,4,4,4,4,2,4,4,41,2,"",2,2,46
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,4,4,4,4,4,3,1,4,4,25,1,"",2,2,43
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,4,4,3,4,4,4,3,3,3,3,14,1,"",1,2,41
2,,,,,,,,,,,,,,"",,,2
1,1,4,4,4,4,3,,,,,,,,"",2,2,25
1,2,,,,,,,,,,,,,"",,,3
1,1,4,4,4,4,4,4,4,4,4,3,19,1,"",,,42
1,1,2,1,1,1,2,2,3,3,2,3,53,1,"",1,1,25
1,1,4,4,3,4,3,3,4,3,4,4,38,1,"",1,2,42
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
1,1,2,3,2,3,4,4,3,4,3,4,15,1,"",2,2,39
1,2,,,,,,,,,,,,,"",,,3
1,1,3,3,4,4,4,4,3,2,3,4,27,2,"",1,2,41
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,1,3,1,4,3,4,4,2,4,4,4,52,1,"",1,2,39
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,1,2,4,3,4,4,3,4,4,3,4,9,1,"",1,1,40
1,1,4,2,3,3,2,4,4,4,4,4,39,1,"",2,1,40
1,1,1,1,2,1,1,3,4,4,2,3,60,1,"",2,1,28
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
2,,,,,,,,,,,,,,"",,,2
1,1,4,4,4,1,3,4,4,4,4,4,11,1,"",2,2,43
2,,,,,,,,,,,,,,"",,,2
1,2,,,,,,,,,,,,,"",,,3
